Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
19,2,19-2,Leaf,,,,,-0.0056037358,14.8176298,
19,3,19-3,Leaf,,,,,-0.0049288068,4.67131853,
19,4,19-4,mean_iat,1.73123553e-05,19-5,19-6,19-6,20.4609451,9.12673092,
19,5,19-5,Leaf,,,,,-0.00474602729,3.84098959,
19,6,19-6,Leaf,,,,,0.0235161576,5.28574181,
20,0,20-0,packet_rate,4166.8667,20-1,20-2,20-2,17.7471333,29.6934032,
20,1,20-1,avg_dt_intensity,9599008770.0,20-3,20-4,20-4,22.8402519,9.94552231,
20,2,20-2,Leaf,,,,,-0.00569294998,19.7478809,
20,3,20-3,Leaf,,,,,-0.00497548608,4.94109583,
20,4,20-4,Leaf,,,,,0.0232343692,5.004426,
21,0,21-0,num_packets,208317.0,21-1,21-2,21-2,36.1255531,28.2879505,
21,1,21-1,Leaf,,,,,-0.00574195432,23.8809357,
21,2,21-2,Leaf,,,,,0.0227784943,4.40701532,
22,0,22-0,avg_bytes,30995078.0,22-1,22-2,22-2,7.27481413,29.9939346,
22,1,22-1,total_packets,20817.0,22-3,22-4,22-4,31.4713001,15.6635218,
22,2,22-2,Leaf,,,,,-0.00559767894,14.3304129,
22,3,22-3,Leaf,,,,,-0.00548374932,10.9842606,
22,4,22-4,Leaf,,,,,0.0231618378,4.67926121,
23,0,23-0,total_bytes,3099454.0,23-1,23-2,23-2,43.2172318,29.9717693,
23,1,23-1,Leaf,,,,,0.0235000346,5.2890029,
23,2,23-2,Leaf,,,,,-0.00574822212,24.682766,
24,0,24-0,total_bytes,286486144.0,24-1,24-2,24-2,18.6260395,29.1651382,
24,1,24-1,Leaf,,,,,-0.00567524601,18.8593998,
24,2,24-2,num_packets,208317.0,24-3,24-4,24-4,22.9608612,10.3057384,
24,3,24-3,Leaf,,,,,0.0229653288,5.39814949,
24,4,24-4,Leaf,,,,,-0.00496156281,4.90758944,
25,0,25-0,std_iat,7.49693791e-05,25-1,25-2,25-2,18.8344784,28.6592102,
25,1,25-1,Leaf,,,,,-0.00565759325,17.7646523,
25,2,25-2,iat_variance_ratio,3.713158e-05,25-3,25-4,25-4,18.9592819,10.894557,
25,3,25-3,Leaf,,,,,0.0227543749,5.09859848,
25,4,25-4,reverse_bytes,577464.0,25-5,25-6,25-6,1.8510586,5.79595852,
25,5,25-5,Leaf,,,,,-0.00492111035,4.65400076,
25,6,25-6,Leaf,,,,,0.00611486798,1.14195752,
26,0,26-0,std_iat,0.00076957891,26-1,26-2,26-2,28.3308697,27.3609371,
26,1,26-1,Leaf,,,,,-0.00573389558,23.7630806,
26,2,26-2,Leaf,,,,,0.0213065092,3.59785652,
27,0,27-0,max_iat,0.000239999994,27-1,27-2,27-2,42.298233,29.9818287,
27,1,27-1,Leaf,,,,,0.0230266228,5.38546753,
27,2,27-2,Leaf,,,,,-0.00574254151,24.5963612,
28,0,28-0,std_iat,3.54718891e-15,28-1,28-2,28-2,16.9053345,29.5276184,
28,1,28-1,num_packets,20625.0,28-3,28-4,28-4,10.7562141,12.5612421,
28,2,28-2,Leaf,,,,,-0.00564521737,16.9663773,
28,3,28-3,Leaf,,,,,-0.0046665296,3.55796194,
28,4,28-4,packet_rate,6187.54248,28-5,28-6,28-6,18.1669292,9.00327969,
28,5,28-5,Leaf,,,,,0.0235084984,5.95814657,
28,6,28-6,Leaf,,,,,-0.0045128921,3.04513359,
29,0,29-0,total_bytes,3099454.0,29-1,29-2,29-2,44.6274567,30.8102856,
29,1,29-1,Leaf,,,,,0.023205135,5.68742323,
29,2,29-2,Leaf,,,,,-0.00574612664,25.1228619,
30,0,30-0,dt_intensity,81906964100000.0,30-1,30-2,30-2,41.0762444,29.4368839,
30,1,30-1,Leaf,,,,,-0.00573015725,23.9415321,
30,2,30-2,Leaf,,,,,0.0225025695,5.49535084,
31,0,31-0,total_bytes,30995078.0,31-1,31-2,31-2,10.8168736,30.2986908,
31,1,31-1,Leaf,,,,,-0.0055979332,14.984499,
31,2,31-2,avg_dt_intensity,63975089800000.0,31-3,31-4,31-4,32.4157257,15.3141918,
31,3,31-3,Leaf,,,,,0.0227723643,5.78159618,
31,4,31-4,Leaf,,,,,-0.00540424464,9.53259563,
32,0,32-0,packet_rate,4166.8667,32-1,32-2,32-2,18.54566,29.6930103,
32,1,32-1,dt_intensity,9599008770.0,32-3,32-4,32-4,22.3904629,10.3898001,
32,2,32-2,Leaf,,,,,-0.00567454705,19.3032093,
32,3,32-3,Leaf,,,,,-0.00495888479,4.90113449,
32,4,32-4,Leaf,,,,,0.0225340128,5.48866558,
33,0,33-0,total_packets,208317.0,33-1,33-2,33-2,12.0628586,28.7236691,
33,1,33-1,Leaf,,,,,-0.00568380952,19.8663445,
33,2,33-2,std_pkt_size,668.89856,33-3,33-4,33-4,18.0258217,8.85732555,
33,3,33-3,Leaf,,,,,0.0212976933,3.95986152,
33,4,33-4,Leaf,,,,,-0.00495740678,4.8974638,
34,0,34-0,total_packets,30937.0,34-1,34-2,34-2,9.23428917,29.73489,
34,1,34-1,protocol,1.0,34-3,34-4,34-4,7.86620808,14.6923313,
34,2,34-2,Leaf,,,,,-0.0056046173,15.0425587,
34,3,34-3,Leaf,,,,,-0.00490820501,4.62494373,
